5700 1 2
Ana 22 12 18  
Bruno 30 20 15  
Carla 25 17 22  
Diego 28 14 19  
Elena 35 23 20  
Felipe 27 18 16  
Gabriela 24 16 21  
Hugo 31 19 17  
Isabel 29 21 23  
João 26 15 20  
Karen 33 22 18  
Lucas 21 13 14  
Mariana 27 18 19  
Nicolás 32 20 22  
Olivia 26 17 15  
Paulo 28 16 20  
Quésia 24 14 19  
Rafael 30 22 21  
Sabrina 25 18 16  
Tiago 29 19 17  
André 34 15 20  
Beatriz 23 19 18  
Carlos 31 22 25  
Diana 29 16 17  
Eduardo 27 20 21  
Fernanda 25 14 19  
Gustavo 30 18 20  
Helena 24 17 23  
Igor 28 19 21  
Juliana 26 22 18  
Karla 32 15 20  
Lúcio 29 21 19  
Maria 27 16 22  
Natália 25 20 18  
Otávio 33 14 23  
Patrícia 22 17 19  
Renan 28 21 20  
Sandra 26 18 15  
Tânia 31 22 25  
Ulysses 30 19 22  
Vanessa 24 16 21  
Walter 29 17 20  
Yara 27 20 18  
Zé 26 14 22  
Aline 22 19 21  
Beto 28 15 20  
Célia 30 18 22  
Daniel 25 22 17  
Emanuelle 27 16 19  
Fábio 29 21 20  
Geovana 24 17 22  
Hélio 33 20 15  
Irene 26 18 19  
Joana 30 22 25  
Kelvin 27 14 21  
Lúcia 25 19 17  
Mário 29 20 22  
Nádia 31 16 23  
Olga 24 22 18  
Pablo 27 17 21  
Quintino 33 20 19  
Roberta 25 18 20  
Silvio 28 21 22  
Talita 29 16 17  
Uriel 26 22 20  
Verônica 30 18 19  
William 27 14 22  
Xuxa 25 20 17  
Yasmin 28 21 19  
Zilda 29 22 18  
Andressa 23 15 20  
Bruna 30 18 22  
Cláudia 25 19 17  
Danilo 27 20 19  
Elaine 28 22 21  
Fabiana 26 16 23  
Guilherme 29 21 20  
Hannah 31 18 22  
Icaro 24 14 21  
Jéssica 26 19 20  
Karine 28 22 18  
Leandro 30 15 17  
Marcos 27 20 23  
Nina 25 19 22  
Otávia 32 21 20  
Paula 26 18 15  
Ricardo 29 22 17  
Sérgio 30 20 19  
Tatiane 27 16 23  
Victor 31 18 20  
Wellington 29 14 22  
Yuri 26 21 17  
Zélia 30 22 18  
Andréa 28 15 21  
Bianca 27 19 22  
Cristiano 24 20 17  
Débora 32 16 19  
Eliane 29 21 20  
Fernando 26 18 23  
Giovanna 30 22 15  
Alice 22 13 20  
Bruno 27 19 22  
Carla 31 14 18  
David 29 21 16  
Eva 26 20 25  
Fábio 28 17 19  
Gisele 24 15 21  
Henrique 30 22 20  
Irene 25 18 23  
Jorge 27 16 17  
Karla 32 19 18  
Lucas 29 22 20  
Marcia 24 20 19  
Nicolas 30 15 22  
Olga 26 19 21  
Pedro 28 21 16  
Quésia 31 14 20  
Rafaela 27 22 23  
Samuel 29 18 25  
Tatiane 24 20 17  
Ulysses 32 15 19  
Valéria 30 19 22  
Wellington 28 16 21  
Yasmin 24 21 18  
Zé 29 20 23  
Aline 27 18 20  
Bruno 25 16 22  
Carla 30 22 15  
Daniela 28 19 17  
Eduardo 26 20 21  
Fernanda 31 14 18  
Gustavo 24 22 20  
Helena 29 15 23  
Igor 30 21 19  
Juliana 27 18 22  
Karla 25 19 16  
Lucas 31 20 25  
Mariana 24 14 19  
Nicolás 28 22 20  
Olga 30 17 21  
Pablo 27 19 23  
Quintino 29 16 22  
Roberta 26 21 18  
Silvio 32 15 20  
Tatiane 24 19 21  
Uriel 27 20 22  
Vanessa 30 18 17  
William 29 14 20  
Yuri 26 22 19  
Zilda 31 15 23  
Andressa 28 19 21  
Bruna 24 18 22  
Cláudia 30 16 17  
Danilo 29 22 20  
Elaine 27 14 18  
Fabiana 31 20 21  
Guilherme 24 19 23  
Hannah 28 21 17  
Icaro 26 18 20  
Jéssica 29 15 22  
Karine 30 22 19  
Leandro 27 20 21  
Marcos 31 16 23  
Nina 28 19 22  
Otávia 24 20 18  
Paula 30 21 20  
Ricardo 27 18 19  
Sérgio 29 15 22  
Tatiane 31 22 20  
Victor 28 20 18  
Wellington 26 14 23  
Yuri 30 19 21  
Zélia 27 22 20  
Andréa 30 20 22  
Bianca 28 19 17  
Cristiano 27 18 23  
Débora 29 21 19  
Eliane 30 16 20  
Fernando 26 22 18  
Giovanna 31 19 23  
Alice 26 20 22  
Bruno 30 17 18  
Carla 27 19 25  
David 28 21 20  
Eva 24 22 23  
Fábio 31 15 19  
Gisele 26 18 21  
Henrique 30 20 22  
Irene 27 19 20  
Jorge 29 16 18  
Karla 28 21 19  
Lucas 30 22 16  
Marcia 27 14 21  
Nicolas 26 19 23  
Olga 31 15 19  
Pedro 28 20 22  
Quésia 24 16 21  
Rafaela 29 22 20  
Samuel 27 18 17  
Tatiane 30 21 23  
Ulysses 28 19 18  
Valéria 31 16 20  
Wellington 26 22 19  
Yasmin 29 15 22  
Zé 30 20 17  
Aline 27 18 21  
Bruno 24 22 19  
Carla 31 20 23  
Daniela 28 15 22  
Eduardo 26 19 18  
Fernanda 30 21 20  
Gustavo 29 16 23  
Helena 27 22 21  
Igor 31 20 18  
Juliana 24 14 22  
Karla 29 21 19  
Lucas 30 18 25  
Mariana 27 19 17  
Nicolás 28 22 16  
Olga 31 20 23  
Pablo 26 21 19  
Quintino 29 15 20  
Roberta 30 22 18  
Silvio 28 17 21  
Tatiane 27 19 20  
Uriel 24 18 22  
Vanessa 31 16 19  
William 28 22 23  
Yuri 27 14 25  
Zilda 30 20 22  
Andressa 29 19 20  
Bruna 26 21 18  
Cláudia 30 17 22  
Danilo 28 15 23  
Elaine 31 20 19  
Fabiana 27 22 20  
Guilherme 26 18 21  
Hannah 30 21 16  
Icaro 29 15 22  
Jéssica 24 19 20  
Karine 31 20 18  
Leandro 27 22 23  
Marcos 30 19 21  
Nina 26 20 22  
Otávia 29 18 23  
Paula 27 22 16  
Ricardo 31 20 19  
Sérgio 28 21 17  
Tatiane 26 19 22  
Victor 29 14 20  
Wellington 30 15 21  
Yuri 27 22 19  
Zélia 28 21 18  
Andréa 31 19 20  
Bianca 27 18 22  
Cristiano 30 20 16  
Débora 26 19 23  
Eliane 28 22 21  
Fernando 31 20 17  
Giovanna 27 21 19  
Alice 30 15 22  
Bruno 24 22 18  
Carla 28 20 25  
David 31 18 23  
Eva 27 19 20  
Fábio 30 21 17  
Gisele 26 22 20  
Henrique 29 15 22  
Irene 30 21 16  
Jorge 28 22 19  
Karla 31 14 18  
Lucas 27 19 23  
Marcia 26 21 20  
Nicolas 30 18 21  
Olga 27 20 25  
Pedro 31 22 19  
Quésia 29 17 22  
Rafaela 26 20 16  
Samuel 30 21 20  
Tatiane 27 15 23  
Ulysses 28 22 18  
Valéria 31 20 21  
Wellington 24 18 22  
Yasmin 27 19 25  
Zé 30 14 23  
Aline 28 21 19  
Bruno 31 20 22  
Carla 26 15 18  
Daniela 30 22 20  
Eduardo 27 19 21  
Fernanda 31 16 23  
Gustavo 28 21 22  
Helena 30 17 20  
Igor 29 22 19  
Juliana 27 18 25  
Karla 30 15 19  
Lucas 31 21 17  
Mariana 28 19 22  
Nicolás 27 22 18  
Olga 29 20 21  
Pablo 30 16 23  
Quintino 31 21 18  
Roberta 26 20 19  
Silvio 30 19 20  
Tatiane 27 14 22  
Uriel 29 18 21  
Vanessa 28 22 17  
William 30 21 20  
Yuri 26 20 23  
Zilda 31 19 22  
Andressa 24 15 19  
Bruna 27 21 18  
Cláudia 30 22 21  
Danilo 29 16 20  
Elaine 30 19 23  
Fabiana 27 20 17  
Guilherme 26 18 22  
Hannah 31 15 21  
Icaro 28 21 16  
Jéssica 29 22 19  
Karine 27 18 25  
Leandro 30 20 18  
Marcos 31 14 23  
Nina 26 19 20  
Otávia 29 21 22  
Paula 28 16 23  
Ricardo 30 21 19  
Sérgio 27 22 20  
Tatiane 28 20 18  
Victor 31 15 21  
Wellington 30 19 23  
Yuri 26 14 25  
Zélia 29 21 22  
Andréa 24 16 21  
Bianca 30 18 20  
Cristiano 27 22 17  
Débora 28 20 23  
Eliane 31 19 21  
Fernando 30 16 22  
Giovanna 27 21 20  
Alice 28 22 18  
Bruno 31 15 22  
Carla 26 19 21  
David 30 21 18  
Eva 28 20 25  
Fábio 29 22 17  
Gisele 27 18 20  
Henrique 30 16 23  
Irene 29 20 22  
Jorge 31 21 19  
Karla 28 15 21  
Lucas 27 19 23  
Marcia 30 18 17  
Nicolas 26 22 20  
Olga 31 19 23  
Pedro 27 20 22  
Quésia 29 15 19  
Rafaela 30 21 18  
Samuel 28 22 16  
Tatiane 31 20 23  
Ulysses 30 19 20  
Valéria 29 14 25  
Wellington 27 18 20  
Yasmin 26 21 19  
Zé 31 15 22  
Aline 30 20 18  
Bruno 27 16 23  
Carla 31 19 20  
Daniela 28 22 17  
Eduardo 26 18 21  
Fernanda 30 20 19  
Gustavo 31 15 22  
Helena 27 19 25  
Igor 29 22 20  
Juliana 30 18 16  
Karla 28 21 19  
Lucas 27 22 20  
Mariana 30 20 22  
Nicolás 28 16 23  
Olga 31 19 21  
Pablo 26 21 19  
Quintino 30 17 23  
Roberta 27 22 18  
Silvio 29 18 20  
Tatiane 31 14 22  
Uriel 30 21 19  
Vanessa 27 20 22  
William 28 22 16  
Yuri 30 19 21  
Zilda 26 15 23  
Andressa 27 22 21  
Bruna 31 20 18  
Cláudia 28 21 22  
Danilo 30 17 19  
Elaine 29 15 21  
Fabiana 31 22 18  
Guilherme 27 19 20  
Hannah 26 20 22  
Icaro 30 21 18  
Jéssica 28 19 25  
Karine 29 16 22  
Leandro 31 20 17  
Marcos 26 18 21  
Nina 28 21 20  
Otávia 30 22 19  
Paula 29 20 23  
Ricardo 27 15 19  
Sérgio 30 18 22  
Tatiane 28 22 20  
Victor 27 19 25  
Wellington 29 21 18  
Yuri 30 15 20  
Zélia 26 22 23  
Andréa 31 20 21  
Bianca 29 18 17  
Cristiano 27 21 19  
Débora 30 16 20  
Eliane 28 22 18  
Fernando 31 19 23  
Giovanna 27 20 22  
Alice 30 18 20  
Bruno 29 15 21  
Carla 27 22 19  
David 30 21 16  
Eva 28 19 23  
Fábio 31 14 22  
Gisele 27 18 21  
Henrique 30 16 25  
Irene 29 22 18  
Jorge 31 21 20  
Karla 26 19 22  
Lucas 30 17 21  
Marcia 27 22 16  
Nicolas 30 20 22  
Olga 31 18 20  
Pedro 28 21 19  
Quésia 27 15 20  
Rafaela 30 22 23  
Samuel 28 20 18  
Tatiane 31 19 22  
Ulysses 29 14 21  
Valéria 30 21 20  
Wellington 27 18 23  
Yasmin 30 19 22  
Zé 31 20 18  
Aline 29 16 21  
Bruno 30 18 20  
Carla 28 21 22  
Daniela 27 15 23  
Eduardo 31 22 20  
Fernanda 30 19 21  
